method,metric,means
transformation_semantic_entropy,accuracy_at_1.0_answer_fraction,0.6461538461538462
transformation_semantic_entropy,AUROC,0.5121635610766045
transformation_semantic_entropy,area_under_thresholded_accuracy,0.626321796852649
transformation_semantic_entropy,mean_uncertainty,0.06162080598847156
transformation_semantic_entropy,accuracy_at_0.8_answer_fraction,0.6153846153846154
transformation_semantic_entropy,accuracy_at_0.9_answer_fraction,0.6581196581196581
transformation_semantic_entropy,accuracy_at_0.95_answer_fraction,0.6585365853658537
transformation_cluster_assignment_entropy,accuracy_at_0.8_answer_fraction,0.6190476190476191
transformation_cluster_assignment_entropy,accuracy_at_0.9_answer_fraction,0.6581196581196581
transformation_cluster_assignment_entropy,accuracy_at_0.95_answer_fraction,0.6532258064516129
transformation_cluster_assignment_entropy,accuracy_at_1.0_answer_fraction,0.6461538461538462
transformation_cluster_assignment_entropy,AUROC,0.46118012422360244
transformation_cluster_assignment_entropy,area_under_thresholded_accuracy,0.5930706729603166
transformation_cluster_assignment_entropy,mean_uncertainty,0.07473016276147049
transformation_regular_entropy,accuracy_at_0.9_answer_fraction,0.6410256410256411
transformation_regular_entropy,accuracy_at_0.95_answer_fraction,0.6504065040650406
transformation_regular_entropy,accuracy_at_1.0_answer_fraction,0.6461538461538462
transformation_regular_entropy,AUROC,0.5401138716356108
transformation_regular_entropy,area_under_thresholded_accuracy,0.6425501335070061
transformation_regular_entropy,mean_uncertainty,0.023081152696906082
transformation_regular_entropy,accuracy_at_0.8_answer_fraction,0.6346153846153846
transformation_p_false,AUROC,0.5760869565217391
transformation_p_false,area_under_thresholded_accuracy,0.6501393497515641
transformation_p_false,mean_uncertainty,1.095807744562626
transformation_p_false,accuracy_at_0.8_answer_fraction,0.6923076923076923
transformation_p_false,accuracy_at_0.9_answer_fraction,0.6581196581196581
transformation_p_false,accuracy_at_0.95_answer_fraction,0.6585365853658537
transformation_p_false,accuracy_at_1.0_answer_fraction,0.6461538461538462
