method,metric,means
transformation_semantic_entropy,accuracy_at_0.95_answer_fraction,0.6016260162601627
transformation_semantic_entropy,accuracy_at_1.0_answer_fraction,0.6076923076923076
transformation_semantic_entropy,AUROC,0.6088359394390668
transformation_semantic_entropy,area_under_thresholded_accuracy,0.6530238879506371
transformation_semantic_entropy,mean_uncertainty,0.5901105371042958
transformation_semantic_entropy,accuracy_at_0.8_answer_fraction,0.6346153846153846
transformation_semantic_entropy,accuracy_at_0.9_answer_fraction,0.6153846153846154
transformation_cluster_assignment_entropy,accuracy_at_1.0_answer_fraction,0.6076923076923076
transformation_cluster_assignment_entropy,AUROC,0.6038719285182428
transformation_cluster_assignment_entropy,area_under_thresholded_accuracy,0.6424237782969952
transformation_cluster_assignment_entropy,mean_uncertainty,0.6400092135887276
transformation_cluster_assignment_entropy,accuracy_at_0.8_answer_fraction,0.6481481481481481
transformation_cluster_assignment_entropy,accuracy_at_0.9_answer_fraction,0.6068376068376068
transformation_cluster_assignment_entropy,accuracy_at_0.95_answer_fraction,0.6016260162601627
transformation_regular_entropy,mean_uncertainty,0.18653910851108627
transformation_regular_entropy,accuracy_at_0.8_answer_fraction,0.6153846153846154
transformation_regular_entropy,accuracy_at_0.9_answer_fraction,0.6239316239316239
transformation_regular_entropy,accuracy_at_0.95_answer_fraction,0.6178861788617886
transformation_regular_entropy,accuracy_at_1.0_answer_fraction,0.6076923076923076
transformation_regular_entropy,AUROC,0.5912137006701415
transformation_regular_entropy,area_under_thresholded_accuracy,0.6429489529012663
transformation_p_false,accuracy_at_0.8_answer_fraction,0.6346153846153846
transformation_p_false,accuracy_at_0.9_answer_fraction,0.6239316239316239
transformation_p_false,accuracy_at_0.95_answer_fraction,0.6178861788617886
transformation_p_false,accuracy_at_1.0_answer_fraction,0.6076923076923076
transformation_p_false,AUROC,0.5460412012906428
transformation_p_false,area_under_thresholded_accuracy,0.6043661925269685
transformation_p_false,mean_uncertainty,1.2044925986574246
