method,metric,means
transformation_semantic_entropy,accuracy_at_1.0_answer_fraction,0.6230769230769231
transformation_semantic_entropy,AUROC,0.6002771478961956
transformation_semantic_entropy,area_under_thresholded_accuracy,0.6435727649380389
transformation_semantic_entropy,mean_uncertainty,0.06584339002037462
transformation_semantic_entropy,accuracy_at_0.8_answer_fraction,0.6538461538461539
transformation_semantic_entropy,accuracy_at_0.9_answer_fraction,0.6495726495726496
transformation_semantic_entropy,accuracy_at_0.95_answer_fraction,0.6341463414634146
transformation_cluster_assignment_entropy,accuracy_at_1.0_answer_fraction,0.6230769230769231
transformation_cluster_assignment_entropy,AUROC,0.5841521793902746
transformation_cluster_assignment_entropy,area_under_thresholded_accuracy,0.6303059254938913
transformation_cluster_assignment_entropy,mean_uncertainty,0.08430909181096552
transformation_cluster_assignment_entropy,accuracy_at_0.8_answer_fraction,0.6635514018691588
transformation_cluster_assignment_entropy,accuracy_at_0.9_answer_fraction,0.6495726495726496
transformation_cluster_assignment_entropy,accuracy_at_0.95_answer_fraction,0.6341463414634146
transformation_regular_entropy,accuracy_at_1.0_answer_fraction,0.6230769230769231
transformation_regular_entropy,AUROC,0.6157722348198539
transformation_regular_entropy,area_under_thresholded_accuracy,0.6578006340985189
transformation_regular_entropy,mean_uncertainty,0.0256249024749152
transformation_regular_entropy,accuracy_at_0.8_answer_fraction,0.6826923076923077
transformation_regular_entropy,accuracy_at_0.9_answer_fraction,0.6495726495726496
transformation_regular_entropy,accuracy_at_0.95_answer_fraction,0.6341463414634146
transformation_p_false,area_under_thresholded_accuracy,0.5662575349964851
transformation_p_false,mean_uncertainty,1.134856464369939
transformation_p_false,accuracy_at_0.8_answer_fraction,0.5961538461538461
transformation_p_false,accuracy_at_0.9_answer_fraction,0.6068376068376068
transformation_p_false,accuracy_at_0.95_answer_fraction,0.6097560975609756
transformation_p_false,accuracy_at_1.0_answer_fraction,0.6230769230769231
transformation_p_false,AUROC,0.4615772234819854
